profile_id,candidate_id,design_id,design_index,activity_pair,activity,partner_activity,topology,distance_a,doping,angle_deg,variant_id,selected_method,adsorption_energy_ev,activation_metric_ev,reaction_energy_ev,scan_energy_range_ev,frame_count,converged_frames,score,max_force_ev_per_a
9905dc81_oxidase,9905dc81,x7,7,Glutathione Peroxidase + Oxidase,Oxidase,Glutathione Peroxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,First pass,0.9196337041207698,0.0,-0.7953526585602049,1.112568422352069,5,5,0.7662855346312418,0.0373743284707951
c1a8f5ff_glutathione_peroxidase,c1a8f5ff,x7,7,Glutathione Peroxidase + Peroxidase,Glutathione Peroxidase,Peroxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,GFN2 deep,1.8379241290217576,2.309906975739977,-2.554074683700492,4.863981659440469,5,5,0.716533767189964,0.044571238578968
c1a8f5ff_peroxidase,c1a8f5ff,x7,7,Glutathione Peroxidase + Peroxidase,Peroxidase,Glutathione Peroxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,GFN1 SCF fallback,0.1726301729559054,1.0970674749300997,-2.679397966315719,3.7764654412458185,5,5,0.716533767189964,0.044571238578968
2f771f22_glutathione_peroxidase,2f771f22,x8,8,Glutathione Peroxidase + Peroxidase,Glutathione Peroxidase,Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN2 deep,2.664118172068356,3.3958343917838647,-1.2911341709805129,5.160498588592418,5,5,0.6678353125968473,0.0481506288060205
2f771f22_peroxidase,2f771f22,x8,8,Glutathione Peroxidase + Peroxidase,Peroxidase,Glutathione Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN1 extended,-0.552563124550943,2.052385889443485,2.052385889443485,2.3699420211851248,5,5,0.6678353125968473,0.0481506288060205
2fd59fe4_glucose_oxidase,2fd59fe4,x8,8,Glucose Oxidase + Glutathione Peroxidase,Glucose Oxidase,Glutathione Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 SCF fallback,0.0913114857228265,1.9217936049508355,-1.6299175972226294,3.5517112021734647,5,5,0.7618758550035506,0.0456651017354856
2fd59fe4_glutathione_peroxidase,2fd59fe4,x8,8,Glucose Oxidase + Glutathione Peroxidase,Glutathione Peroxidase,Glucose Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 extended,0.6928743561074953,1.2722504969569854,0.9440045879364334,1.415046026921118,5,5,0.7618758550035506,0.0456651017354856
41f9b430_catalase,41f9b430,x8,8,Catalase + Glutathione Peroxidase,Catalase,Glutathione Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN1 SCF fallback,0.3598293565378299,3.45607063919806,3.45607063919806,3.45607063919806,5,5,0.7442415550185244,0.0425786782323362
41f9b430_glutathione_peroxidase,41f9b430,x8,8,Catalase + Glutathione Peroxidase,Glutathione Peroxidase,Catalase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN2 deep,1.193456976323887,3.865855958657448,-0.5409621143044205,7.173555368371126,5,5,0.7442415550185244,0.0425786782323362
50b2bb19_oxidase,50b2bb19,x8,8,Oxidase + Peroxidase,Oxidase,Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,First pass,-0.7222164338836592,0.0,-0.5970765344795836,1.438703332436944,5,5,0.6678353125968473,0.0481506288060205
50b2bb19_peroxidase,50b2bb19,x8,8,Oxidase + Peroxidase,Peroxidase,Oxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN1 extended,-0.5525631245513978,2.052244913079903,2.052244913079903,2.3698157767280463,5,5,0.6678353125968473,0.0481506288060205
546a5ac5_glucose_oxidase,546a5ac5,x8,8,Glucose Oxidase + Oxidase,Glucose Oxidase,Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 SCF fallback,0.0913114857232813,1.9201761829990571,-1.642640812742684,3.5628169957417413,5,5,0.7618758550035506,0.0456651017354856
546a5ac5_oxidase,546a5ac5,x8,8,Glucose Oxidase + Oxidase,Oxidase,Glucose Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,First pass,-0.9419710230372402,0.1532668788504452,0.1532668788504452,0.1866237476383503,5,5,0.7618758550035506,0.0456651017354856
62533915_glutathione_peroxidase,62533915,x8,8,Glutathione Peroxidase + Peroxidase,Glutathione Peroxidase,Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 SCF fallback,1.6215631453769674,1.4710165198075629,-0.6073434132313196,2.0783599330388824,5,5,0.7425385990968407,0.0439318728532364
62533915_peroxidase,62533915,x8,8,Glutathione Peroxidase + Peroxidase,Peroxidase,Glutathione Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 extended,0.0975097160367113,1.3941411838986824,1.0244085744775475,1.3941411838986824,5,5,0.7425385990968407,0.0439318728532364
707ba750_catalase,707ba750,x8,8,Catalase + Peroxidase,Catalase,Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 SCF fallback,0.2074747693336576,3.7559083450587423,3.7559083450587423,3.7559083450587423,5,5,0.7687956350875234,0.0401015337188674
707ba750_peroxidase,707ba750,x8,8,Catalase + Peroxidase,Peroxidase,Catalase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 extended,0.0966924826284412,1.393902903223534,1.0232637497965698,1.393902903223534,5,5,0.7687956350875234,0.0401015337188674
743e7dc9_glutathione_peroxidase,743e7dc9,x8,8,Glutathione Peroxidase + Oxidase,Glutathione Peroxidase,Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN2 deep,1.7183195057632474,2.4245307873707134,-0.0628570744311218,2.4873878618018352,5,5,0.7442265740494882,0.0487866171239061
743e7dc9_oxidase,743e7dc9,x8,8,Glutathione Peroxidase + Oxidase,Oxidase,Glutathione Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,First pass,-0.9423244291670017,0.3542351978394435,0.3542351978394435,0.4012344802035841,5,5,0.7442265740494882,0.0487866171239061
8384434b_catalase,8384434b,x8,8,Catalase + Oxidase,Catalase,Oxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN1 SCF fallback,0.3598293565360109,3.454696494541168,3.454696494541168,3.454696494541168,5,5,0.7442415550185244,0.0425786782323362
8384434b_oxidase,8384434b,x8,8,Catalase + Oxidase,Oxidase,Catalase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,GFN2 deep,-1.107530415603151,0.0,-4.994578574680872,5.269430880016898,5,5,0.7442415550185244,0.0425786782323362
ce640407_catalase,ce640407,x8,8,Catalase + Oxidase,Catalase,Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,GFN1 SCF fallback,0.2053890445918114,3.7589163330517295,3.7589163330517295,3.7589163330517295,5,5,0.7705570951226042,0.0452776861062371
ce640407_oxidase,ce640407,x8,8,Catalase + Oxidase,Oxidase,Catalase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,First pass,-0.9422271234934668,0.3852190489001259,0.3852190489001259,0.4195776064639176,5,5,0.7705570951226042,0.0452776861062371
