candidate_id,design_id,design_index,activity_pair,topology,distance_a,doping,angle_deg,variant_id,score,max_force_ev_per_a,complete_profile_count,retained_profile_activities
8296035a,x13,13,Glutathione Peroxidase + Peroxidase,independent adjacent,7.0,S,135,x13_adjacent_d7.0_s_a135,0.753472461229598,0.0430667671054679,2,Glutathione Peroxidase; Peroxidase
3379bb89,x13,13,Oxidase + Peroxidase,independent adjacent,7.0,S,135,x13_adjacent_d7.0_s_a135,0.753472461229598,0.0430667671054679,2,Oxidase; Peroxidase
87785d3e,x14,14,Glucose Oxidase + Glutathione Peroxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7717382000676738,0.0491911062102813,2,Glucose Oxidase; Glutathione Peroxidase
f070549b,x14,14,Glucose Oxidase + Oxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7717382000676738,0.0491911062102813,2,Glucose Oxidase; Oxidase
a465dd19,x14,14,Glutathione Peroxidase + Oxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7542325842980877,0.0498908469440307,2,Glutathione Peroxidase; Oxidase
469b639c,x14,14,Glutathione Peroxidase + Peroxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7270300521489487,0.0466324648413226,2,Glutathione Peroxidase; Peroxidase
84c6fc50,x14,14,Oxidase + Peroxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7270300521489487,0.0466324648413226,2,Oxidase; Peroxidase
60c3b8a7,x14,14,Glutathione Peroxidase + Oxidase,independent separated,10.4,S,15,x14_separated_d10.4_s_a15,0.7168413701931652,0.0482217424112602,2,Glutathione Peroxidase; Oxidase
023f943c,x15,15,Catalase + Peroxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.7213681534018941,0.0496644291469345,2,Catalase; Peroxidase
14a1b2af,x15,15,Glutathione Peroxidase + Oxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.6999556574880993,0.0452532368876737,2,Glutathione Peroxidase; Oxidase
4a58a8b0,x15,15,Glutathione Peroxidase + Peroxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.6951393711521029,0.0498898590767119,2,Glutathione Peroxidase; Peroxidase
c99c7536,x15,15,Oxidase + Peroxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.6951393711521029,0.0498898590767119,2,Oxidase; Peroxidase
aad1192f,x16,16,Glucose Oxidase + Glutathione Peroxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.7820164393005788,0.0495856411773396,2,Glucose Oxidase; Glutathione Peroxidase
