profile_id,activity,topology,adsorption_energy_ev,activation_metric_ev
fe2778ad_glucose_oxidase,Glucose Oxidase,independent separated,3.0308817228719818,0.0
fe2778ad_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.5805035854186826,4.822635595593965
3379bb89_oxidase,Oxidase,independent adjacent,-1.1983138732875886,0.0
3379bb89_peroxidase,Peroxidase,independent adjacent,1.2334747172762943,0.0
8296035a_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,2.626717130375255,3.002416089027065
8296035a_peroxidase,Peroxidase,independent adjacent,1.2334747172762943,0.0
469b639c_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,2.6195273010698656,1.5243063403086126
469b639c_peroxidase,Peroxidase,independent adjacent,1.2132472436383068,0.0
60c3b8a7_glutathione_peroxidase,Glutathione Peroxidase,independent separated,2.4915113629526786,0.0
60c3b8a7_oxidase,Oxidase,independent separated,-0.8529700708913879,0.0
84c6fc50_oxidase,Oxidase,independent adjacent,-0.9666619024756072,0.0
84c6fc50_peroxidase,Peroxidase,independent adjacent,1.2132472436369426,0.0
87785d3e_glucose_oxidase,Glucose Oxidase,independent adjacent,3.0620220245423297,2.253892839637956
87785d3e_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,2.2839851514668226,0.0
a465dd19_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,2.6179433340616924,0.6665178071070841
a465dd19_oxidase,Oxidase,independent adjacent,-0.707951266559121,0.0
f070549b_glucose_oxidase,Glucose Oxidase,independent adjacent,3.0620220245427845,2.253882156185682
f070549b_oxidase,Oxidase,independent adjacent,-0.7043344871394766,0.0
023f943c_catalase,Catalase,independent separated,0.1326502233105202,3.387598799112311
023f943c_peroxidase,Peroxidase,independent separated,0.3858211686920185,1.321820766484052
14a1b2af_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.4843638756892688,2.455499345589488
14a1b2af_oxidase,Oxidase,independent separated,-0.650657579304152,0.3443760923651098
4a58a8b0_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.4843533543107696,2.4592597296514214
4a58a8b0_peroxidase,Peroxidase,independent separated,0.3849576959210026,1.318875297586601
c99c7536_oxidase,Oxidase,independent separated,1.016873740095889,0.0
c99c7536_peroxidase,Peroxidase,independent separated,0.3849576959260048,1.3187897387324483
1147bd17_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.7125840104267809,2.435178818717759
1147bd17_peroxidase,Peroxidase,independent adjacent,0.5358657673104972,0.9888885952327656
33a6ea13_catalase,Catalase,independent separated,0.291500777100282,2.787662551532776
33a6ea13_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.011248765023538,4.724167986478278
7c1572c8_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.7063884363124089,2.6498022622354256
7c1572c8_oxidase,Oxidase,independent adjacent,-0.0282158636441636,0.0
937196b3_catalase,Catalase,independent separated,0.2915007770998272,2.787195141749635
937196b3_oxidase,Oxidase,independent separated,-0.8218743579573129,0.2271723763669797
aad1192f_glucose_oxidase,Glucose Oxidase,independent adjacent,0.8144940125821449,0.0
aad1192f_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.8133323726738129,3.391605473533673
d0ee8b98_oxidase,Oxidase,independent adjacent,-1.0484193904576389,0.0
d0ee8b98_peroxidase,Peroxidase,independent adjacent,0.5358657673077687,0.9888918521942288
d3b8fed5_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.972427246791085,0.0
d3b8fed5_oxidase,Oxidase,independent separated,-0.8221742484970491,0.115967207045287
ff87b8d1_glucose_oxidase,Glucose Oxidase,independent adjacent,0.8144940125830544,0.0
ff87b8d1_oxidase,Oxidase,independent adjacent,-0.0269748151445128,0.0
